Compound,NumKinases,Kinases
91745,24,"AAK1, ABL1, ALK, BTK, CDK7, CLK1, CLK4, CSF1R, DCLK1, DDR1, FYN, GAK, HCK, HIPK2, JAK3, LCK, LYN, MYLK4, PAK3, RIPK2, ROS1, TAOK3, ULK1, ULK2"
3294375,10,"ABL1, BRAF, CLK1, CSF1R, DDR1, HIPK2, KIT, LCK, LYN, ULK3"
83975,10,"BMPR2, CLK1, CLK2, CLK4, CSNK1A1, CSNK1D, CSNK2A1, DYRK1A, HIPK2, MAP2K7"
43079,9,"ABL1, BMPR2, BRAF, CSF1R, CSNK1A1, CSNK1D, GAK, HIPK2, RIPK2"
92326,8,"BMPR1B, BMPR2, CDK7, CLK1, CLK2, CLK4, DYRK1A, HIPK2"
47445,8,"ABL1, ABL2, BRAF, DDR1, HCK, KIT, LCK, LYN"
3081363,7,"ABL1, BMPR2, CLK1, CLK4, DYRK1A, GAK, HIPK2"
39238,7,"CLK4, CSNK1A1, DDR1, DYRK1A, LYN, NTRK1, RIPK2"
12708735,7,"CLK1, CLK4, CSNK1D, DYRK1A, GAK, HIPK2, ULK1"
123679328,7,"ABL1, BRAF, ERBB3, HCK, KIT, LCK, LYN"
73670,7,"BTK, CDK7, CSNK2A2, DDR1, HIPK2, KIT, MYLK4"
162381,6,"BMPR2, CLK1, CLK4, DYRK1A, HIPK2, ULK1"
148717219,6,"ABL1, CSF1R, DDR1, HCK, LCK, LYN"
190636,6,"CDK7, CSF1R, GAK, HIPK2, JAK3, ULK2"
92433,6,"CDK7, CLK1, CLK4, DYRK1A, ULK1, ULK2"
16559,6,"BMPR1B, CAMK2A, CLK2, CLK4, DYRK1A, GAK"
23690427,6,"BMPR2, CDK7, CLK1, CLK4, GAK, HIPK2"
39425,6,"BMPR2, CLK1, CLK2, CLK4, DYRK1A, HIPK2"
11158213,6,"CDK7, CLK1, CLK2, CLK4, DYRK1A, TAOK3"
115171,6,"BMPR2, CLK1, CLK4, DYRK1A, GAK, HIPK2"
107651,6,"ABL1, CSF1R, DDR1, HCK, KIT, LYN"
104926,6,"ABL1, CLK1, DDR1, DYRK1A, HIPK2, ULK1"
24743,5,"BMPR2, CLK1, CLK4, CSNK1D, DYRK1A"
91755,5,"BMPR2, CSF1R, CSNK1G2, DDR1, HIPK2"
56608859,5,"ABL1, CLK1, DYRK1A, HIPK2, ULK1"
4767,5,"CLK1, CLK4, CSNK1D, HIPK2, ULK1, ULK1"
94382,5,"BMPR2, CLK4, CSNK2A2, DYRK1A, HIPK2"
146479070,5,"CDK7, CLK1, CLK4, DYRK1A, HIPK2"
23466,5,"CLK1, CLK4, CSNK2A2, DYRK1A, HIPK2"
23674999,5,"BMPR2, DAPK1, DYRK1A, GAK, HIPK2"
11709249,5,"CDK7, DCLK1, DYRK1A, HIPK2, ULK1"
11634286,5,"CLK1, CLK4, DAPK1, DYRK1A, ULK1"
5053,5,"BMPR2, CLK1, CLK4, DYRK1A, ULK1"
6442842,5,"BMPR2, CLK1, CSNK1D, CSNK1G2, HIPK2"
11990852,5,"CLK1, CLK2, CLK4, DYRK1A, ULK1"
13728,5,"BMPR2, CLK1, CLK2, CLK4, DYRK1A"
12761569,4,"CLK1, CLK4, CSNK1D, HIPK2"
135346206,4,"CLK1, CLK4, DYRK1A, HIPK2"
2345,4,"CLK1, CLK4, DYRK1A, HIPK2"
153985,4,"DDR1, GAK, HIPK2, MYLK4"
23707509,4,"CSF1R, GAK, ULK1, ULK3"
42619,4,"ABL1, CSF1R, DDR1, GAK"
57414497,4,"ABL1, DDR1, KIT, LYN"
6125184,4,"BMPR2, CDK7, CLK4, DYRK1A"
7095,4,"BMPR1B, CLK1, CLK2, CLK4"
6295,4,"CLK1, CSNK1D, CSNK1E, DYRK1A"
77123,4,"BMPR2, CLK1, DYRK1A, HIPK2"
71777,4,"ABL1, DDR1, FGFR1, FGFR3"
67788,4,"ABL1, BRAF, DDR1, KIT"
91759,4,"CLK1, CLK4, DYRK1A, ULK1"
71615984,4,"CLK1, CLK2, CLK4, DYRK1A"
91751,4,"CDK7, CLK1, CSF1R, HIPK2"
9435,4,"BMPR1B, CLK1, CLK4, DYRK1A"
14146,4,"BMPR2, CLK1, DYRK1A, HIPK2"
165392216,4,"CLK1, CLK4, GAK, ULK1"
86309,3,"ABL1, DDR1, KIT"
86268,3,"CLK1, CSF1R, GAK"
6436606,3,"ABL1, CLK1, HIPK2"
25015075,3,"ABL1, CLK4, CSNK1D"
54698175,3,"ABL1, CSF1R, DDR1"
56945144,3,"HIPK2, ULK1, ULK2"
6440554,3,"CLK1, CLK4, HIPK2"
6450825,3,"BMPR2, CLK1, HIPK2"
56945145,3,"CLK1, CLK4, DYRK1A"
132910,3,"CLK1, DYRK1A, ULK1"
11534837,3,"CLK1, CLK4, HIPK2"
11500973,3,"BMPR2, CLK4, DYRK1A"
100039,3,"BMPR1B, CLK1, DYRK1A"
107901,3,"CLK1, DDR1, MYLK4"
10139,3,"CAMK2A, CLK2, DYRK1A"
121363882,3,"CLK1, CLK4, HIPK2"
131698386,3,"ABL1, DDR1, ULK1"
