Kinase,Compounds,Binding value,Docking value
AAK1,91745.0,17.74928377377741,-8.751
ABL1,47445.0,6.952039380908158,-8.282
ABL1,67788.0,10.81477708134046,-8.949
ABL1,3294375.0,10.8340678949806,-8.876
ABL1,182481.0,11.1015429065375,-8.341
ABL1,107651.0,11.83185032933799,-8.624
ABL1,10140464.0,12.29181287348216,-8.18
ABL1,91734.0,13.57358798648839,-8.423
ABL1,91745.0,14.03429774167362,-8.376
ABL1,62506.0,14.28528493502383,-8.724
ABL1,123679328.0,14.3533636585748,-8.91
ABL1,131698386.0,14.41188572620062,-8.267
ABL1,86309.0,14.52329296181781,-9.363
ABL1,11571392.0,14.56387871524449,-9.451
ABL1,148717219.0,14.81370763382222,-9.402
ABL1,151720246.0,14.88719567872032,-8.406
ABL1,139509773.0,15.19674504001341,-8.621
ABL1,85470938.0,15.25000159071571,-8.955
ABL1,91741.0,15.66680979391464,-8.663
ABL1,40585.0,15.82664567811257,-8.031
ABL1,73777241.0,15.92842767492446,-8.367
ABL1,6451141.0,16.21826489317497,-8.084
ABL1,11271640.0,16.86101237913984,-8.101
ABL1,71777.0,16.91434042842278,-9.09
ABL1,54698175.0,17.04800027655735,-11.351
ABL1,139509774.0,17.09409842294845,-8.031
ABL1,57414497.0,17.25732455000973,-9.037
ABL1,91600.0,17.26172414337522,-8.151
ABL1,121463656.0,17.34269275952073,-8.542
ABL1,56608859.0,17.4548345060219,-8.046
ABL1,104926.0,17.45483450602199,-8.308
ABL1,43079.0,17.46496272169353,-8.588
ABL1,6436606.0,17.5599002313129,-9.279
ABL1,24781705.0,17.67133947767377,-8.526
ABL1,42619.0,17.83009254627315,-8.231
ABL1,11577870.0,17.84785088089418,-9.494
ABL1,10110536.0,17.93306396889642,-8.807
ABL1,28768.0,17.93650603033997,-8.013
ABL1,91708.0,18.01741772355448,-9.245
ABL1,91773.0,18.15731938756177,-8.062
ABL1,122609622.0,18.38179017825464,-9.68
ABL1,54676038.0,18.5904092884005,-8.168
ABL1,157602.0,18.65224569960986,-8.102
ABL1,23669621.0,18.84448317199714,-8.967
ABL1,16115.0,19.30751336200781,-8.99
ABL1,9576412.0,19.41508194945547,-8.131
ABL1,54740619.0,19.43099889490252,-8.162
ABL1,52998.0,19.4425021839434,-8.014
ABL1,89881183.0,19.49462829944401,-8.188
ABL1,213032.0,19.55829958542867,-9.533
ABL1,50516.0,19.66809144927721,-8.757
ABL1,70495450.0,19.71819733486629,-8.295
ABL1,3081363.0,19.77233773800096,-8.049
ABL1,5280793.0,19.9431945576064,-8.689
ABL1,25015075.0,19.98956858269714,-8.31
ABL2,47445.0,18.78810383770609,-8.407
ALK,91745.0,15.5143970233055,-8.432
BMPR1B,7095.0,16.0365904081415,-8.479
BMPR1B,6636.0,16.32969422069306,-8.191
BMPR1B,39965.0,16.37032884693107,-8.166
BMPR1B,92421.0,16.59177773233309,-8.201
BMPR1B,9435.0,16.77917869349946,-8.684
BMPR1B,12001831.0,17.76091291696694,-8.171
BMPR1B,100039.0,17.77205911040793,-8.046
BMPR1B,92326.0,19.00507642706053,-9.025
BMPR1B,38854.0,19.2822918967765,-8.311
BMPR1B,16559.0,19.77005847110328,-9.33
BMPR2,83975.0,11.09371386739855,-8.522
BMPR2,13728.0,11.53013700501914,-8.131
BMPR2,115171.0,13.03717611446809,-8.048
BMPR2,39425.0,13.94104957681693,-8.221
BMPR2,14146.0,13.98385662739491,-8.056
BMPR2,34313.0,14.7822010317347,-8.552
BMPR2,5053.0,15.15549678016098,-8.755
BMPR2,162381.0,15.1867106724347,-9.137
BMPR2,11500973.0,15.31618223665222,-8.068
BMPR2,23674999.0,15.44625452760628,-8.181
BMPR2,77123.0,15.50735730303854,-8.223
BMPR2,3081363.0,15.68949345983855,-8.466
BMPR2,43079.0,16.31108892496386,-9.732
BMPR2,11350631.0,16.5231507872352,-8.704
BMPR2,811359.0,17.46459654480386,-8.269
BMPR2,91677.0,17.57114796998703,-8.277
BMPR2,12040175.0,17.6839700639214,-8.071
BMPR2,6125184.0,17.68421708133899,-8.043
BMPR2,92326.0,17.68969553180092,-8.622
BMPR2,23690427.0,17.6972642404871,-9.641
BMPR2,24743.0,18.14919102316852,-8.27
BMPR2,52999.0,18.24583348992376,-8.984
BMPR2,6450825.0,18.39658095230368,-9.566
BMPR2,94382.0,18.72887186210753,-8.542
BMPR2,91755.0,18.97941172310959,-8.329
BMPR2,183559.0,19.03207838725626,-8.031
BMPR2,73668.0,19.05169267319286,-8.16
BMPR2,20055552.0,19.4701486879259,-8.492
BMPR2,6265.0,19.72671767994128,-8.211
BMPR2,6442842.0,19.96300115136512,-8.161
BRAF,47445.0,12.94754680304857,-9.287
BRAF,67788.0,16.99948505344406,-9.854
BRAF,11664966.0,18.35773763421014,-8.022
BRAF,11571392.0,18.51339860365699,-8.743
BRAF,3294375.0,18.69005943867367,-10.136
BRAF,28768.0,19.08379521144019,-8.233
BRAF,123679328.0,19.49939764495068,-10.367
BRAF,43079.0,19.98958245757612,-9.044
BTK,91745.0,16.68745134186467,-9.465
BTK,73670.0,17.14355228349945,-9.288
CAMK2A,16559.0,16.13017312446653,-9.038
CAMK2A,10139.0,17.4362338201101,-8.154
CAMK2A,3081924.0,19.15758638214316,-8.056
CDK7,56843907.0,7.925516266200828,-8.458
CDK7,25241871.0,8.94136625974696,-8.248
CDK7,11158213.0,11.46300047283814,-8.734
CDK7,92433.0,11.76896852173795,-9.261
CDK7,92326.0,12.22978128590139,-8.426
CDK7,11419598.0,12.944744253351,-8.114
CDK7,3081924.0,15.01529576256021,-8.597
CDK7,15764724.0,15.10627591509131,-8.183
CDK7,6125184.0,15.42227845037552,-8.884
CDK7,6455515.0,15.58283281868581,-8.027
CDK7,52999.0,15.71906430512533,-8.145
CDK7,12940701.0,15.77844645508956,-8.33
CDK7,11709249.0,16.82946892514729,-8.273
CDK7,73670.0,17.39191421302115,-8.226
CDK7,11556910.0,17.67098155034588,-8.115
CDK7,91751.0,17.73958181101717,-8.877
CDK7,28768.0,18.38426306626227,-8.266
CDK7,162483615.0,18.56818032082102,-9.908
CDK7,91756.0,18.64150519864496,-8.847
CDK7,146602715.0,18.6474007080525,-8.522
CDK7,37517.0,18.64981655987884,-8.408
CDK7,91753.0,18.74830675408988,-8.009
CDK7,11556911.0,18.91609166680034,-8.286
CDK7,23690427.0,19.04637816108437,-9.002
CDK7,11205154.0,19.33156328325521,-8.542
CDK7,190636.0,19.41185012461142,-8.788
CDK7,91745.0,19.75622347260202,-8.168
CDK7,146479070.0,19.77231027546544,-8.008
CDK7,86417.0,19.85509578773285,-8.333
CLK1,9435.0,5.107003080498361,-8.14
CLK1,93379.0,5.45531023325904,-8.148
CLK1,11487.0,5.685400563985953,-8.077
CLK1,2345.0,6.23865646810639,-8.196
CLK1,13728.0,6.263785438291285,-8.521
CLK1,11634286.0,6.481536642833881,-8.531
CLK1,121363882.0,6.756691775043949,-8.552
CLK1,11990852.0,6.938656864049221,-9.476
