Kinase,Compound,Binding value ,Docking value,SI worst,SI mean
ABL1,Flocoumafen,17.04800027655735,-11.351,0.7856,
BRAF,Picolinafen,18.69005943867367,-10.136,0.5226,
BRAF,Flubeneteram,19.49939764495068,-10.367,0.4458,
CLK1,Pyridachlometyl,8.908539538267377,-10.15,1.3082,
CLK1,Oxathiapiprolin,11.36783204107278,-10.129,1.3302,
CLK1,Gamma-cyhalothrin,13.93041875142584,-10.382,1.3077,
CLK1,Permethrin,14.69668010857611,-10.351,1.1969,
CLK1,Cinmethylin,15.75495518421954,-11.328,0.608,
CLK1,Dimepyrolimet,15.81218639401975,-10.402,1.0765,
CLK1,Boscalid,15.8738511696499,-10.095,0.4507,
CLK1,Cyfluthrin,17.562955407601,-10.087,0.9465,
CLK1,Picolinafen,17.68175940344002,-11.166,0.5524,
CLK1,Triarathene,19.21180491432618,-10.239,0.9351,
CLK1,Bifenthrin,19.32304416639633,-10.624,0.9276,
CLK4,Cinmethylin,17.58481027630737,-11.032,0.545,
CLK4,Oxathiapiprolin,18.66789291483532,-10.934,0.609,
CLK4,Naptalam-sodium,19.37236068400904,-10.69,0.7495,
DDR1,Flucycloxuron,13.33944495089329,-10.733,1.0883,
DDR1,Cinmethylin,13.85040922768008,-10.211,0.6903,
DDR1,Flocoumafen,16.49619948261224,-10.759,0.8134,
DDR1,Bromadiolone,17.0044473365956,-10.336,1.1822,
HCK,Cinmethylin,15.31890582659922,-10.936,0.625,
HCK,Penfluron,18.38396194644942,-10.971,0.6436,
HCK,Piperflanilide,19.4615985541906,-11.437,0.8325,
HCK,Triflumuron,19.78871187018445,-10.026,0.272,
HIPK2,Cinmethylin,15.0656562976189,-10.541,0.6348,
HIPK2,Fluridone,18.30073798465475,-10.269,0.7857,
HIPK2,Naptalam-sodium,19.32979601206579,-10.411,0.7511,
KIT,Flubeneteram,15.58183531938445,-10.647,0.5577,
KIT,Cinidon-ethyl,17.49198829330355,-10.45,0.6061,
KIT,Penfluron,18.05290159966182,-10.922,0.6554,1.9207
KIT,Picolinafen,18.48019886920289,-11.041,0.5285,
KIT,Isoxapyrifop,18.64215439712672,-10.424,0.7678,1.8672
KIT,Furyloxyfen,19.99799232134591,-10.11,0.7279,1.8464
PAK3,Cinmethylin,18.21177452318705,-10.182,0.5247,
