Kinase,Nos. of Compounds, Compounds
CLK1,71,"100039, 104926, 107901, 11158213, 11388558, 11496886, 115171, 11534837, 11556910, 11629002, 11634286, 11990852, 12040175, 121363882, 12708735, 12761569, 132910, 135346206, 13728, 14127920, 14146, 146479070, 15118048, 155467987, 156304554, 157010717, 162381, 165392216, 174656, 176133503, 183559, 213013, 2345, 23466, 23690427, 24743, 3081363, 3294375, 3347, 39425, 40326, 40585, 4767, 5053, 5282227, 52998, 56608859, 56945145, 6295, 6436606, 6440554, 6442842, 6450825, 7095, 71615984, 77123, 83975, 86103, 86268, 86354, 91656, 91745, 91751, 91759, 92326, 92401, 92433, 93379, 93539, 9435, 9796266"
DYRK1A,61,"100039, 10139, 104926, 11158213, 11388558, 11500973, 115171, 11571555, 11634286, 11709249, 11990852, 12708735, 12940701, 132910, 135346206, 13728, 14127920, 14146, 146479070, 146491372, 15118048, 15764724, 162381, 16559, 20056436, 213013, 2345, 23466, 23674999, 24743, 25241871, 3081363, 39238, 39425, 40521, 5053, 5282227, 54678504, 56608859, 56843907, 56945145, 6125184, 6295, 6455515, 71615984, 77123, 83975, 86138, 86354, 86426, 9013425, 91612, 91625, 91656, 91692, 91759, 92326, 92433, 9435, 94382, 9796266"
HIPK2,57,"10140464, 104926, 11350631, 115171, 11534837, 11709249, 121363882, 12708735, 12761569, 130405988, 135346206, 14146, 146479070, 146491372, 146602715, 15118048, 153985, 15546, 162381, 183559, 190636, 20056436, 2345, 23466, 23674999, 23690427, 3081363, 3294375, 3347, 37123, 38283, 38854, 39425, 40326, 43079, 4767, 56608859, 56945144, 6436606, 6440554, 6442842, 6450825, 73670, 77123, 811359, 83975, 86103, 86417, 86443, 91677, 91745, 91751, 91755, 92326, 93379, 94382, 9796266"
CLK4,53,"107851, 11158213, 114994, 11500973, 115171, 11534837, 11571555, 11634286, 11990852, 121363882, 12708735, 12761569, 135346206, 13728, 146479070, 146491372, 15546, 162381, 165392216, 16559, 176133503, 20056436, 2345, 23466, 23690427, 24743, 25015075, 3081363, 34313, 39238, 39425, 40521, 4767, 5053, 56945145, 57418258, 6125184, 6440554, 6451141, 6455515, 6636, 7095, 71615984, 83975, 86426, 9013425, 91612, 91745, 91759, 92326, 92433, 9435, 94382"
ABL1,42,"10110536, 10140464, 104926, 107651, 11271640, 11571392, 122609622, 123679328, 131698386, 139509773, 148717219, 151720246, 157602, 182481, 23669621, 24781705, 25015075, 28768, 3081363, 3294375, 40585, 42619, 43079, 47445, 52998, 54676038, 54698175, 56608859, 57414497, 62506, 6436606, 6451141, 67788, 71777, 85470938, 86309, 89881183, 91600, 91734, 91741, 91745, 91773"
DDR1,41,"10157484, 104926, 107651, 107901, 122609622, 131698386, 132115472, 134590429, 139509773, 148717219, 153985, 157010717, 162483615, 164806248, 19402, 23669621, 24781705, 3294375, 37123, 39238, 42619, 45381138, 47445, 54676038, 54682651, 54698175, 57414497, 5851439, 6451141, 67119441, 67788, 71777, 73670, 85470938, 86309, 91600, 91734, 91741, 91745, 91755, 93482"
GAK,33,"10157484, 11205154, 115171, 11664966, 12708735, 130405988, 132115472, 134590429, 153985, 155467987, 156304554, 157010717, 165392216, 16559, 190636, 23674999, 23690427, 23707509, 3081363, 3391107, 40413, 42619, 43079, 45381138, 54678504, 54682651, 62506, 68018336, 86268, 86417, 91745, 92401, 92425"
BMPR2,27,"11350631, 11500973, 115171, 12040175, 13728, 14146, 162381, 183559, 23674999, 23690427, 24743, 3081363, 34313, 39425, 43079, 5053, 52999, 6125184, 6442842, 6450825, 77123, 811359, 83975, 91677, 91755, 92326, 94382"
CDK7,24,"11158213, 11205154, 11556910, 11709249, 12940701, 146479070, 146602715, 15764724, 162483615, 190636, 23690427, 25241871, 28768, 3081924, 52999, 56843907, 6125184, 6455515, 73670, 86417, 91745, 91751, 92326, 92433"
ULK1,24,"104926, 107851, 11634286, 11709249, 11990852, 12708735, 131698386, 132910, 162381, 165392216, 23707509, 38283, 40413, 4767, 4767, 5053, 56608859, 56945144, 86443, 91625, 91745, 91759, 92425, 92433, 93539"
CSF1R,20,"107651, 11271640, 148717219, 190636, 19402, 23707509, 3294375, 42619, 43079, 54676038, 54682651, 54698175, 67119441, 86268, 89881183, 91600, 91745, 91751, 91755, 93482"
CLK2,14,"10139, 11158213, 114994, 11629002, 11990852, 13728, 16559, 34313, 39425, 7095, 71615984, 83975, 91692, 92326"
KIT,13,"107651, 123679328, 157602, 174656, 3294375, 3391107, 47445, 57414497, 57418258, 5851439, 67788, 73670, 86309"
LYN,10,"107651, 123679328, 148717219, 151720246, 3294375, 39238, 47445, 57414497, 68018336, 91745"
CSNK1D,10,"12708735, 12761569, 24743, 25015075, 43079, 4767, 6295, 6442842, 83975, 91773"
BRAF,8,"11571392, 11664966, 123679328, 28768, 3294375, 43079, 47445, 67788"
HCK,7,"107651, 123679328, 148717219, 164806248, 182481, 47445, 91745"
BMPR1B,7,"100039, 16559, 38854, 6636, 7095, 92326, 9435"
LCK,5,"123679328, 148717219, 3294375, 47445, 91745"
ULK2,5,"190636, 56945144, 91625, 91745, 92433"
CSNK1A1,4,"39238, 43079, 83975, 86138"
MYLK4,4,"107901, 153985, 73670, 91745"
CAMK2A,3,"10139, 16559, 3081924"
JAK3,3,"190636, 56843907, 91745"
CSNK2A2,3,"23466, 73670, 94382"
RIPK2,3,"39238, 43079, 91745"
CSNK1G2,2,"6442842, 91755"
TAOK3,2,"11158213, 91745"
ULK3,2,"23707509, 3294375"
BTK,2,"73670, 91745"
DAPK1,2,"11634286, 23674999"
CSNK2A1,2,"11496886, 83975"
DCLK1,2,"11709249, 91745"
ERBB3,2,"10110536, 123679328"
ALK,1,91745
AAK1,1,91745
ABL2,1,47445
CSNK1E,1,6295
FGFR3,1,71777
FYN,1,91745
FGFR1,1,71777
MAP2K7,1,83975
MKNK2,1,19402
ROS1,1,91745
NTRK1,1,39238
PAK3,1,91745
